stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\dev\Faculdade\compGrafica\SpriteWalking\x64\Debug\allegro5.cfg r
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07617] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07618] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07620] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07621] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.07622] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.07623] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.07625] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.07626] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.07628] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.07649] added dtor for bitmap 000001D990F54BC0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07687] added dtor for sub_bitmap 000001D990F88D40, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07698] added dtor for sub_bitmap 000001D990F88F30, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07709] added dtor for sub_bitmap 000001D990F89120, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07718] added dtor for sub_bitmap 000001D990F89310, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07720] added dtor for sub_bitmap 000001D990F89500, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07722] added dtor for sub_bitmap 000001D99158A5E0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07724] added dtor for sub_bitmap 000001D99158A7D0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07725] added dtor for sub_bitmap 000001D99158A9C0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07728] added dtor for sub_bitmap 000001D991589C30, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07730] added dtor for sub_bitmap 000001D991589E20, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07732] added dtor for sub_bitmap 000001D99158A3F0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07733] added dtor for sub_bitmap 000001D99158A010, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07735] added dtor for sub_bitmap 000001D99158A200, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07738] added dtor for sub_bitmap 000001D990F1F240, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07740] added dtor for sub_bitmap 000001D990F1EC70, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07742] added dtor for sub_bitmap 000001D990F201C0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07745] added dtor for sub_bitmap 000001D990F1F430, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07748] added dtor for sub_bitmap 000001D990F1F810, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07751] added dtor for sub_bitmap 000001D990F1EE60, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07753] added dtor for sub_bitmap 000001D990F1F050, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07754] added dtor for sub_bitmap 000001D990F203B0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07757] added dtor for sub_bitmap 000001D990F1F620, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07759] added dtor for sub_bitmap 000001D990F1FA00, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07761] added dtor for sub_bitmap 000001D990F1FBF0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07764] added dtor for sub_bitmap 000001D990F1FFD0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07767] added dtor for sub_bitmap 000001D990F205A0, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07770] added dtor for sub_bitmap 000001D990F20790, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07773] added dtor for sub_bitmap 000001D990F1EA80, func 00007FFC702F118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.07776] added dtor for sub_bitmap 000001D990F1FDE0, func 00007FFC702F118B
